"hfpxzc href","qBF1Pd","W4Efsd 2","W4Efsd 3"
"https://www.google.com/maps/place/Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d348ae2cc54107:0x16b0b296353bd827!8m2!3d39.910934!4d32.800035!16s%2Fg%2F11byck02dr!19sChIJB0HFLK5I0xQRJ9g7NZaysBY?authuser=0&hl=tr&rclk=1","Otobüs Durağı","·","2168. Sk."
"https://www.google.com/maps/place/Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d348a507947b15:0x4309ab0d2f156675!8m2!3d39.910693!4d32.794948!16s%2Fg%2F11b7q3srmr!19sChIJFXuUB6VI0xQRdWYVLw2rCUM?authuser=0&hl=tr&rclk=1","Otobüs Durağı","·","2177. Cad."
"https://www.google.com/maps/place/Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d34f3962153a03:0x351e013ef2734a79!8m2!3d39.917614!4d32.823526!16s%2Fg%2F11b7qf3byw!19sChIJAzoVYjlP0xQReUpz8j4BHjU?authuser=0&hl=tr&rclk=1","Otobüs Durağı","·","Bosna Hersek Cd."
"https://www.google.com/maps/place/Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d3489bfe98e3e3:0x50bbb2050aff7758!8m2!3d39.913344!4d32.779981!16s%2Fg%2F11b7q8s4qr!19sChIJ4-OY_ptI0xQRWHf_CgWyu1A?authuser=0&hl=tr&rclk=1","Otobüs Durağı","·","Şht. Öğretmen Şenay Aybüke Yalçın Cd."
"https://www.google.com/maps/place/Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d34f04bb2e15e3:0xc0f5fdf87781faa7!8m2!3d39.9200329!4d32.843217!16s%2Fg%2F11b7q85zdy!19sChIJ4xUuuwRP0xQRp_qBd_j99cA?authuser=0&hl=tr&rclk=1","Otobüs Durağı","·","90. Sk."
"https://www.google.com/maps/place/Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d3463f968870b3:0xc9b451c31587bcac!8m2!3d39.889761!4d32.78407!16s%2Fg%2F11b7qc8hk_!19sChIJs3CIlj9G0xQRrLyHFcNRtMk?authuser=0&hl=tr&rclk=1","Otobüs Durağı","·","ODTÜ İnşaat"
"https://www.google.com/maps/place/Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d34607fbc3b79f:0x7397c0b8362bed94!8m2!3d39.890742!4d32.808037!16s%2Fg%2F11b7q4lnf3!19sChIJn7fD-wdG0xQRlO0rNrjAl3M?authuser=0&hl=tr&rclk=1","Otobüs Durağı","·","1487. Sk."
"https://www.google.com/maps/place/Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d34faeb49d5dd7:0xbbffefd09dac36b3!8m2!3d39.914642!4d32.859342!16s%2Fg%2F11b7q9v3jg!19sChIJ112dtK5P0xQRszasndDv_7s?authuser=0&hl=tr&rclk=1","Otobüs Durağı","·","Bankacı Sk."
"https://www.google.com/maps/place/Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d348cca3364c55:0xb6cf4d06c0733c7d!8m2!3d39.92338!4d32.807296!16s%2Fg%2F11b7pzkwtc!19sChIJVUw2o8xI0xQRfTxzwAZNz7Y?authuser=0&hl=tr&rclk=1","Otobüs Durağı","·","9. Sk"
"https://www.google.com/maps/place/Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d3456e3e898dab:0x3e556e75935e8e59!8m2!3d39.868669!4d32.865975!16s%2Fg%2F11bycdn48m!19sChIJq42JPm5F0xQRWY5ek3VuVT4?authuser=0&hl=tr&rclk=1","Otobüs Durağı","·","Konrad Adenauer Cd."
